	identifier	created	modified	size	species	nauthors	ecephys	ophys	icephys	numberOfSubjects	numberOfFiles	has_related_pub
154	000535	2023-05-09 23:58:56.843461+00:00	2023-06-07 21:39:05.689189+00:00	6827396992	House mouse	6	False	True	False	15.0	115	False
155	000537	2023-05-10 13:47:21.630926+00:00	2023-05-10 20:04:34.720627+00:00	6440628584	Human	3	False	False	False	125.0	125	False
156	000538	2023-05-10 16:43:21.402593+00:00	2023-05-10 20:04:57.323867+00:00	1954273200	Human	3	False	False	False	11.0	11	False
157	000540	2023-05-11 21:01:04.628860+00:00	2023-05-11 21:01:04.628878+00:00	1003937347960	Rat	3	False	False	False	33.0	990	False
158	000541	2023-05-12 00:36:15.913485+00:00	2024-02-01 18:24:34.648554+00:00	30525162874	C. elegans	9	False	True	False	21.0	21	False
159	000544	2023-05-14 11:40:20.181078+00:00	2023-05-14 11:40:20.181095+00:00	971759812	House mouse	1	True	False	False	2.0	3	False
160	000545	2023-05-14 13:14:33.442291+00:00	2023-05-14 13:14:33.442311+00:00	190704	House mouse	1	False	False	False	1.0	1	False
161	000546	2023-05-15 16:19:45.680866+00:00	2023-05-15 16:19:45.680883+00:00	7785862944	House mouse	1	True	False	False	1.0	1	False
162	000547	2023-05-17 14:28:04.954369+00:00	2023-08-01 19:17:14.269910+00:00	17585558608	House mouse	7	False	True	False	9.0	70	False
163	000548	2023-05-18 19:57:30.449061+00:00	2023-05-18 19:57:30.449081+00:00	19823052053	Cattle	4	False	False	False	19.0	19	False
164	000549	2023-05-19 18:40:04.279670+00:00	2023-05-19 18:40:04.279688+00:00	40412790236	Cattle	4	False	False	False	25.0	26	False
165	000550	2023-05-19 19:34:37.088796+00:00	2023-05-19 19:34:37.088818+00:00	23579017779	Cattle	4	False	False	False	17.0	17	False
166	000552	2023-05-23 17:23:37.163308+00:00	2023-05-23 17:34:19.127841+00:00	1545387836482	House mouse	5	True	False	False	17.0	117	True
167	000554	2023-05-31 12:15:43.584820+00:00	2023-05-31 12:15:43.584837+00:00	129066795249	Rat	1	True	False	False	4.0	36	False
168	000559	2023-06-09 17:30:08.811501+00:00	2023-12-10 16:16:54.103512+00:00	14753252327642	Human	25	False	False	False	69.0	4425	True
169	000565	2023-06-17 01:48:24.158039+00:00	2024-03-20 22:31:51.972802+00:00	46250221065	C. elegans	3	False	True	False	21.0	21	False
170	000566	2023-06-19 00:03:34.728513+00:00	2023-06-19 20:21:17.103854+00:00	631788071	Fruit fly	1	False	True	False	1.0	1	False
171	000568	2023-06-28 15:39:24.241528+00:00	2023-06-28 15:40:05.500042+00:00	904756915175	House mouse	5	True	False	False	4.0	138	True
172	000569	2023-06-28 23:52:27.567158+00:00	2023-07-05 17:43:05.182552+00:00	5622625870	Pigtail macaque	5	False	False	True	9.0	103	False
173	000570	2023-06-29 20:25:43.159623+00:00	2023-07-05 17:42:52.656910+00:00	4628300559	Human	6	False	False	True	58.0	155	False
174	000572	2023-07-03 20:17:43.540225+00:00	2023-08-26 01:38:04.558797+00:00	311812040462	House mouse	1	True	False	False	37.0	289	False
175	000574	2023-07-04 13:52:07.557094+00:00	2023-08-08 01:35:29.088030+00:00	138887036866	Human	7	True	False	False	9.0	43	True
176	000575	2023-07-04 17:07:21.531429+00:00	2023-08-08 01:35:11.352671+00:00	50794717628	Human	6	True	False	False	12.0	17	False
177	000576	2023-07-04 17:10:34.084138+00:00	2023-08-08 01:35:27.595838+00:00	2191651090	Human	7	True	False	False	9.0	11	True
178	000579	2023-07-10 21:58:09.569708+00:00	2023-07-21 20:06:56.359828+00:00	245591965505	House mouse	3	False	True	False	8.0	308	False
179	000582	2023-07-17 08:18:23.034598+00:00	2023-07-19 12:59:15.137970+00:00	1863054410	Rat	9	True	False	False	14.0	115	True
180	000615	2023-07-25 18:21:02.715482+00:00	2023-07-25 18:21:02.715508+00:00	7461406960	Procambarus clarkii - Red swamp crayfish	1	False	False	False	1.0	1	False
181	000618	2023-08-04 13:32:03.181333+00:00	2023-08-04 13:32:03.181357+00:00	145522643652	House mouse	9	True	False	False	4.0	124	False
182	000623	2023-08-31 18:13:43.895059+00:00	2024-01-30 20:30:16.845094+00:00	27744749325	Human	11	True	False	False	16.0	29	False
183	000624	2023-09-01 00:18:09.594806+00:00	2023-09-12 17:52:25.576100+00:00	131866973888	Rat	7	True	False	False	10.0	45	False
184	000625	2023-09-06 16:30:08.447291+00:00	2023-11-14 00:13:09.621247+00:00	74904128	House mouse	2	False	True	False	1.0	3	False
185	000626	2023-09-06 20:33:29.251788+00:00	2023-09-06 20:33:29.251804+00:00	18295752	Rhesus monkey	1	False	False	False	1.0	1	False
186	000628	2023-09-09 01:39:26.115969+00:00	2023-09-09 01:39:26.115992+00:00	52741296155	Rhesus monkey	4	False	False	False	13.0	2037	False
187	000629	2023-09-10 19:49:56.118436+00:00	2023-09-10 19:49:56.118454+00:00	16808409955494	Rat	5	True	False	False	4.0	114	False
188	000630	2023-09-13 20:50:35.329036+00:00	2023-09-13 20:57:50.067334+00:00	8073127848	Human	5	False	False	True	53.0	210	False
189	000631	2023-09-14 18:38:55.144430+00:00	2023-09-14 18:38:55.144454+00:00	18379955860	Cattle	4	False	False	False	15.0	15	False
190	000632	2023-09-14 19:01:32.791752+00:00	2023-09-14 19:01:32.791774+00:00	42744120707	Cattle	4	False	False	False	24.0	24	False
191	000633	2023-09-14 19:09:10.314783+00:00	2023-09-14 19:09:10.314806+00:00	2137420087	Cattle	4	False	False	False	2.0	2	False
192	000634	2023-09-14 19:16:36.468068+00:00	2023-09-14 19:16:36.468093+00:00	1035526841	Chinese hamster	4	False	False	False	10.0	10	False
193	000635	2023-09-15 20:41:36.876957+00:00	2023-09-19 16:59:41.767893+00:00	4707135438	Macaca nemestrina	5	False	False	True	8.0	81	False
194	000636	2023-09-15 22:22:19.423708+00:00	2023-09-15 22:42:25.910825+00:00	24473831989	Human	5	False	False	True	109.0	706	False
195	000637	2023-09-18 18:18:09.902793+00:00	2023-09-18 18:18:18.434411+00:00	1163422160	Rat	4	True	False	False	25.0	292	False
196	000638	2023-09-21 16:28:28.312615+00:00	2024-05-29 23:26:28.568424+00:00	1199530787667	House mouse	0	True	False	False	33.0	33	False
197	000640	2023-09-22 00:16:23.478717+00:00	2023-11-08 17:03:15.403469+00:00	30511569704	Rat	2	False	False	False	24.0	339	False
198	000673	2023-09-26 20:41:29.787964+00:00	2024-01-18 21:11:46.214641+00:00	23447043476	Human	11	True	False	False	36.0	44	False
199	000678	2023-10-03 18:14:28.045050+00:00	2023-10-03 18:14:28.045078+00:00	8108311416	House mouse	5	False	False	False	13.0	391	False
200	000683	2023-10-12 21:24:42.300639+00:00	2023-10-12 21:24:42.300660+00:00	31732204	House mouse	1	False	True	False	1.0	1	False
201	000686	2023-10-17 15:00:46.437652+00:00	2023-10-17 15:00:46.437675+00:00	11736585692	Cattle	5	False	False	False	22.0	11	False
202	000687	2023-10-17 15:30:18.404487+00:00	2023-11-06 22:42:52.235917+00:00	4614611787654	House mouse	3	True	False	False	8.0	9	False
203	000688	2023-10-19 20:06:41.315772+00:00	2023-10-19 20:12:02.790484+00:00	13179483710	Macaca fascicularis - Cynomolgus monkeys	4	True	False	False	4.0	103	True
204	000689	2023-10-23 20:27:48.564158+00:00	2023-10-24 20:21:54.803260+00:00	574784621711	House mouse	34	True	False	False	36.0	85	False
205	000691	2023-10-30 15:17:41.803046+00:00	2023-11-08 16:47:27.442135+00:00	15338089927	House mouse	4	False	True	False	1.0	2	True
206	000692	2023-11-03 08:53:28.963969+00:00	2024-03-21 02:28:18.396236+00:00	80537036658	C. elegans	5	False	True	False	7.0	7	False
207	000696	2023-11-11 04:51:17.187910+00:00	2023-11-11 06:30:00.930471+00:00	4744684682059	House mouse	1	True	False	False	5.0	5	False
208	000710	2023-11-13 21:37:34.851594+00:00	2023-11-13 21:37:34.851618+00:00	3086879137167	House mouse	1	True	False	False	4.0	4	False
209	000711	2023-11-14 17:08:29.884713+00:00	2023-11-21 02:01:23.795253+00:00	1508058148534	House mouse	4	False	True	False	107.0	6015	False
210	000713	2023-11-17 22:05:54.773189+00:00	2024-07-02 17:16:43.932144+00:00	4761056388409	House mouse	2	True	False	False	81.0	4293	False
211	000714	2023-11-20 21:32:21.225581+00:00	2024-02-01 18:25:00.304278+00:00	478075700	C. elegans	6	False	True	False	9.0	9	False
212	000715	2023-11-20 22:09:13.916173+00:00	2024-02-01 18:24:08.889456+00:00	835049434	C. elegans	8	False	True	False	10.0	10	False
213	000717	2023-11-30 17:03:49.840085+00:00	2024-08-22 18:31:38.757797+00:00	158204612196	House mouse	0	True	True	True	5.0	4	False
214	000723	2023-12-05 19:37:24.190508+00:00	2023-12-05 19:37:24.190521+00:00	208220320	House mouse	1	False	True	False	9.0	27	False
215	000727	2023-12-10 10:22:46.518636+00:00	2024-01-06 00:19:39.600335+00:00	609568504598	Fruit fly	6	False	True	False	9.0	18	True
216	000728	2023-12-11 05:09:39.457563+00:00	2024-08-22 18:00:45.826966+00:00	62484268521319	House mouse	1	False	True	False	271.0	3036	False
217	000732	2023-12-11 22:42:22.603999+00:00	2023-12-23 16:07:06.508817+00:00	112811769196	Human	49	True	False	False	1.0	36	False
218	000766	2023-12-12 18:43:27.269442+00:00	2024-07-27 03:59:51.607430+00:00	70529896	House mouse	3	False	False	False	4.0	366	False
219	000768	2023-12-18 18:50:53.146481+00:00	2024-03-04 20:39:45.028191+00:00	3153299188	Macaca nemestrina	5	False	False	True	3.0	51	False
220	000769	2023-12-18 18:57:38.221514+00:00	2023-12-18 18:57:38.221533+00:00	10299057874	Human	5	False	False	True	20.0	177	False
221	000773	2024-01-04 19:31:15.719296+00:00	2024-06-04 17:22:06.980271+00:00	1281980278656	Clonal raider ant	1	False	True	False	21.0	15246	False
222	000774	2024-01-09 05:13:50.004252+00:00	2024-04-25 19:23:32.682510+00:00	1358542068	House mouse	2	True	False	False	10.0	10	False
223	000776	2024-01-09 20:32:27.801335+00:00	2024-02-01 18:22:41.972446+00:00	1011743300552	C. elegans	18	False	True	False	38.0	38	False
224	000871	2024-01-19 18:43:55.864337+00:00	2024-02-15 17:05:04.042727+00:00	6263867545400	House mouse	5	False	True	False	2.0	284	False
225	000875	2024-01-24 15:59:59.693440+00:00	2024-01-24 15:59:59.693461+00:00	3607438018	Cattle	5	False	False	False	18.0	9	False
226	000876	2024-01-25 15:57:58.990029+00:00	2024-01-25 20:02:43.508768+00:00	18609018147	House mouse	1	True	False	False	1.0	26	False
227	000888	2024-02-06 17:41:05.710678+00:00	2024-02-06 17:41:05.710700+00:00	1834409113	Zebrafish	2	False	False	False	104.0	52	False
228	000891	2024-02-07 18:17:40.108989+00:00	2024-02-08 17:41:14.873772+00:00	59185589849	House mouse	12	False	False	False	63.0	87	False
229	000897	2024-02-26 20:53:07.949077+00:00	2024-06-05 19:41:18.345942+00:00	361973386790	Rhesus monkey	3	True	False	False	2.0	30	False
230	000931	2024-03-05 07:44:38.963682+00:00	2024-03-05 09:20:28.533873+00:00	177095408	House mouse	6	True	False	False	1.0	1	False
231	000932	2024-03-05 15:48:35.030063+00:00	2024-03-05 15:48:35.030083+00:00	199844377549	Sus scrofa domesticus - Domestic pig	1	True	False	False	10.0	238	False
232	000933	2024-03-06 00:30:41.849294+00:00	2024-03-06 00:30:41.849319+00:00	1715556217	Human	5	False	False	True	4.0	28	False
233	000934	2024-03-06 00:31:51.486357+00:00	2024-03-06 00:31:51.486380+00:00	755815585	Macaca nemestrina	5	False	False	True	2.0	13	False
234	000935	2024-03-06 16:20:51.867802+00:00	2024-03-19 20:10:51.769342+00:00	49105883680	House mouse	13	True	False	False	6.0	6	False
235	000938	2024-03-12 19:12:10.562597+00:00	2024-03-12 19:12:10.562619+00:00	2762531957	Human	3	False	False	False	5.0	5	False
236	000939	2024-03-14 00:26:27.286667+00:00	2024-03-15 11:51:29.735173+00:00	54772596116	House mouse	3	True	False	False	31.0	31	False
237	000940	2024-03-15 21:17:56.183415+00:00	2024-07-22 17:24:19.590094+00:00	3596791437	Human	14	True	False	False	21.0	21	False
238	000941	2024-03-18 19:39:51.187866+00:00	2024-03-18 20:15:26.489525+00:00	311792278	Rhesus monkey	3	True	False	False	3.0	11	True
239	000943	2024-03-28 13:15:33.968368+00:00	2024-03-28 13:15:33.968384+00:00	976205947390	House mouse	1	True	False	False	12.0	725	False
240	000945	2024-03-30 03:06:13.114761+00:00	2024-03-30 03:06:13.114781+00:00	524086736	Rat	4	True	False	False	10.0	75	False
241	000946	2024-03-30 06:04:45.523293+00:00	2024-03-30 06:05:44.733065+00:00	65158691744	Rat	4	True	False	False	38.0	1919	False
242	000947	2024-03-30 12:27:06.991378+00:00	2024-04-11 09:20:20.329726+00:00	1048819909625	Rhesus monkey	5	True	False	False	2.0	378	True
243	000950	2024-04-01 13:56:42.807827+00:00	2024-04-01 13:56:42.807849+00:00	1224956736	Human	10	False	False	False	3.0	47	False
244	000951	2024-04-01 14:10:35.958040+00:00	2024-04-01 14:10:35.958057+00:00	486506743673	Fruit fly	6	False	True	False	486.0	1413	False
245	000952	2024-04-02 02:19:05.334329+00:00	2024-05-15 15:47:01.433577+00:00	74361063204	Rat	1	False	False	False	73.0	213	False
246	000953	2024-04-02 04:28:59.353797+00:00	2024-04-02 04:32:01.889723+00:00	22404212	Rhesus monkey	4	True	False	False	3.0	20	True
247	000954	2024-04-02 05:00:25.799442+00:00	2024-04-02 05:00:25.799460+00:00	102258934	Human	3	True	False	False	3.0	40	True
248	000955	2024-04-03 03:30:48.187699+00:00	2024-04-03 03:30:48.187722+00:00	10556448	Rat	4	True	False	False	1.0	11	False
249	000957	2024-04-04 02:49:30.994898+00:00	2024-04-04 02:49:30.994916+00:00	530955950647	House mouse	3	True	False	False	5.0	9	False
250	000970	2024-04-25 16:26:56.547584+00:00	2024-04-25 16:26:56.547614+00:00	29647600	House mouse	14	False	False	False	46.0	46	False
251	000971	2024-04-27 01:45:05.960750+00:00	2024-08-02 20:07:03.451161+00:00	23491138657	House mouse	12	False	False	False	307.0	4133	True
252	000978	2024-05-01 14:47:00.350607+00:00	2024-05-11 02:59:36.596318+00:00	322981345984	Rat	2	True	False	False	8.0	9	False
253	000983	2024-05-06 20:59:12.283124+00:00	2024-05-13 23:07:14.713125+00:00	7441656	Unidentified	3	False	False	False	66.0	38	False
254	000987	2024-05-10 15:19:29.192835+00:00	2024-05-10 16:32:42.376194+00:00	1163037056	House mouse	3	True	False	False	3.0	14	False
255	000988	2024-05-13 21:21:48.364170+00:00	2024-05-13 21:22:30.550318+00:00	73787193680	Human	5	False	False	False	175.0	174	False
256	000989	2024-05-14 02:36:55.555253+00:00	2024-05-14 02:36:55.555270+00:00	52322892	Unidentified	3	False	False	False	8.0	257	False
257	001025	2024-05-15 20:33:08.663366+00:00	2024-05-15 20:33:08.663387+00:00	10690479132	Chinese hamster	5	False	False	False	12.0	12	False
258	001028	2024-05-16 19:10:42.432316+00:00	2024-05-16 19:10:42.432334+00:00	10869905261	Chinese hamster	5	False	False	False	6.0	6	False
259	001029	2024-05-16 21:06:01.287584+00:00	2024-05-16 21:06:01.287600+00:00	6773343496	House mouse	4	False	False	False	1.0	41	False
260	001030	2024-05-17 19:30:17.183063+00:00	2024-05-17 19:30:17.183081+00:00	51968333	House mouse	3	False	False	False	34.0	17	False
261	001031	2024-05-18 20:33:31.336567+00:00	2024-05-18 20:33:31.336584+00:00	4305334	House mouse	3	False	False	False	20.0	10	False
262	001032	2024-05-21 17:22:23.862583+00:00	2024-05-21 17:22:23.862601+00:00	118440312	Rat	3	False	False	False	14.0	178	False
263	001033	2024-05-21 17:22:45.538007+00:00	2024-05-21 17:22:45.538027+00:00	134723619	Rat	3	False	False	False	10.0	193	False
264	001034	2024-05-21 17:22:59.633414+00:00	2024-05-21 17:22:59.633430+00:00	118440312	Rat	3	False	False	False	14.0	178	False
265	001035	2024-05-21 17:23:15.380005+00:00	2024-05-21 17:23:15.380023+00:00	178384847	Rat	3	False	False	False	15.0	254	False
266	001037	2024-05-22 21:39:13.894493+00:00	2024-05-22 21:39:13.894510+00:00	4589844	House mouse	1	False	False	False	2.0	2	False
267	001038	2024-05-24 13:54:10.941834+00:00	2024-06-03 14:24:25.093506+00:00	22753138491	House mouse	14	False	False	False	105.0	1234	True
268	001044	2024-06-02 08:46:00.097734+00:00	2024-06-02 08:46:00.097753+00:00	17935587444	Rat	7	True	False	False	15.0	162	False
269	001046	2024-06-04 13:45:15.162160+00:00	2024-06-04 13:45:15.162178+00:00	1286915940	Taeniopygia guttata - Zebra finch	5	False	False	False	3.0	9	False
270	001047	2024-06-04 17:21:04.141576+00:00	2024-06-04 17:21:04.141592+00:00	14156734169	House mouse	3	False	False	False	5.0	13	False
271	001051	2024-06-05 21:28:46.759168+00:00	2024-06-06 18:18:47.332920+00:00	1808065536215	House mouse	2	True	False	False	27.0	663	False
272	001052	2024-06-10 16:59:44.419010+00:00	2024-07-20 05:16:45.950897+00:00	19510736	Rat	1	True	False	False	12.0	12	False
273	001054	2024-06-13 17:58:43.700749+00:00	2024-06-21 21:42:40.739922+00:00	56818295178	Rhesus monkey	1	True	False	False	3.0	301	False
274	001055	2024-06-14 07:38:22.119008+00:00	2024-06-14 10:01:10.120316+00:00	1253787768	Rhesus monkey	2	False	False	False	4.0	5	False
275	001056	2024-06-14 10:42:40.510060+00:00	2024-06-14 10:42:40.510078+00:00	54454695	Rhesus monkey	2	False	False	False	2.0	1	False
276	001057	2024-06-14 11:14:09.510068+00:00	2024-06-14 14:50:54.887608+00:00	2472168780	Rhesus monkey	2	False	False	False	11.0	10	False
277	001058	2024-06-14 13:42:27.754535+00:00	2024-07-01 08:50:25.116246+00:00	150032788	Rhesus monkey	2	False	False	False	2.0	1	False
278	001059	2024-06-14 14:03:06.361507+00:00	2024-06-14 14:03:06.361527+00:00	198309991	Rhesus monkey	2	False	False	False	1.0	1	False
279	001060	2024-06-14 14:14:33.080772+00:00	2024-06-14 14:14:33.080789+00:00	410749268	Rhesus monkey	2	False	False	False	1.0	1	False
280	001062	2024-06-14 18:10:23.655375+00:00	2024-06-14 18:10:23.655391+00:00	278740648	Callithrix jacchus - Common marmoset	4	True	False	False	1.0	1	False
281	001063	2024-06-17 02:19:57.276224+00:00	2024-06-17 02:19:57.276240+00:00	153184896	Fruit fly	1	False	False	False	218.0	213	False
282	001064	2024-06-17 05:28:46.214244+00:00	2024-06-23 03:10:18.805061+00:00	74912912	Fruit fly	1	False	False	False	130.0	96	False
283	001065	2024-06-18 21:29:26.250578+00:00	2024-07-10 19:10:42.648361+00:00	11539847907	Rhesus monkey	2	False	False	True	112.0	289	False
284	001069	2024-06-21 16:58:13.699396+00:00	2024-06-21 16:58:13.699413+00:00	1360390639	Rhesus monkey	1	True	False	False	2.0	10	False
285	001073	2024-06-21 22:02:41.624982+00:00	2024-06-21 22:02:41.625001+00:00	495900228	Rat	1	True	False	False	3.0	3	False
286	001075	2024-06-27 18:17:12.716594+00:00	2024-09-20 14:34:12.119536+00:00	4074234123623	C. elegans	5	False	True	False	113.0	214	True
287	001076	2024-06-27 18:30:30.864999+00:00	2024-06-27 18:30:51.854803+00:00	660278264	Zebrafish	1	False	True	False	1.0	44	False
288	001078	2024-07-01 11:09:01.762621+00:00	2024-07-01 11:09:01.762639+00:00	5683760829	Rhesus monkey	2	False	False	False	2.0	9	False
289	001084	2024-07-09 09:02:04.023305+00:00	2024-09-04 09:30:19.654615+00:00	826752561643	House mouse	16	False	True	False	16.0	179	True
290	001092	2024-07-22 15:35:15.014321+00:00	2024-08-06 14:17:01.355161+00:00	12627889	House mouse	2	False	True	False	2.0	3	False
291	001097	2024-07-29 22:05:28.073452+00:00	2024-08-14 18:00:14.200699+00:00	15616440	House mouse	1	False	False	False	2.0	2	False
292	001130	2024-07-31 11:11:45.820851+00:00	2024-08-28 13:02:31.436716+00:00	677262221	House mouse	3	True	False	False	1.0	1	False
293	001132	2024-08-02 00:38:33.938905+00:00	2024-10-01 23:30:26.076208+00:00	192373252150	Human	6	True	False	False	69.0	69	False
294	001171	2024-08-12 12:23:20.214623+00:00	2024-08-12 12:23:20.214642+00:00	911493615448	House mouse	1	False	False	False	59.0	60	False
295	001182	2024-08-27 15:59:04.324156+00:00	2024-08-27 15:59:04.324169+00:00	87598800	House mouse	2	False	False	False	15.0	15	False
296	001183	2024-08-27 21:15:18.623401+00:00	2024-08-27 21:15:18.623423+00:00	71163074	House mouse	0	False	False	False	36.0	37	False
297	001184	2024-08-29 09:28:28.816096+00:00	2024-08-29 09:28:28.816111+00:00	130937573056	House mouse	2	False	True	False	21.0	309	False
298	001187	2024-08-30 18:53:10.935242+00:00	2024-09-04 22:14:50.909321+00:00	20665003724	Human	9	True	False	False	39.0	46	False
299	001188	2024-09-04 12:36:49.925287+00:00	2024-09-12 19:24:47.221942+00:00	57581742295	House mouse	1	False	True	False	14.0	233	False
300	001190	2024-09-05 14:40:30.580826+00:00	2024-09-17 17:39:36.313437+00:00	220201651439	House mouse	2	False	True	False	8.0	16	False
301	001193	2024-09-15 10:15:00.439571+00:00	2024-09-22 05:42:31.782019+00:00	1365465792	Human	1	True	False	False	9.0	34	False
302	001195	2024-09-18 17:50:14.994221+00:00	2024-09-18 17:50:14.994235+00:00	45434634328	House mouse	4	False	True	False	12.0	74	False
303	001199	2024-09-30 20:56:27.377399+00:00	2024-10-01 00:10:13.567900+00:00	178846296	Rat	4	True	False	False	3.0	74	False
304	001200	2024-09-30 22:52:01.832688+00:00	2024-09-30 22:52:01.832713+00:00	21606720	Rat	4	True	False	False	2.0	50	False
305	001201	2024-10-01 00:19:48.975415+00:00	2024-10-01 00:34:16.840125+00:00	464855024	Rhesus monkey	1	False	False	False	2.0	7	False
306	001205	2024-10-14 19:11:27.553855+00:00	2024-10-16 18:27:16.323901+00:00	138946618210	Fruit fly	1	False	True	False	277.0	277	False
